section|content
Socio-economic|transformation for improved livelihoods 2.2.5 External Sector Performance During the period 2006 to 2020, the performance of the external sector was generally favourable as an average current account surplus of 1.4 percent of GDP per annum was recorded. During the 7NDP period, the current account surplus rose to an average of 3.6 percent of GDP. The rise in net exports on the back of the increase in copper earnings largely underpinned the current account surplus. Merchandise exports continued to be dominated by traditional exports, particularly copper, over the period 2006 to 2020 (see Figure 5). Traditional exports accounted for an average of 75 percent of total exports with the balance coming from non-traditional exports such as sugar, cement and agricultural products. This reflects the country’s narrow export base and the need to diversify the sources of export earnings. Figure 5: Non-Traditional Exports and Traditional Exports (US$’ million) Source: Zambia Statistics Agency 2.2.3 Gross International Reserves (GIRs) Gross international reserves (GIRs) steadily increased between 2006 and 2014 (see Figure 6)). This was in part due to Zambia’s attainment of the Highly Indebted Poor Country (HIPC) Initiative Completion Point in 2006 which resulted in significant debt relief that eased pressure on international reserves. Additionally, the issuance of three Eurobonds amounting to US$3.0 billion increased GIRs to an all-time high of US$3.1 EIGHTH NATIONAL DEVELOPMENT PLAN (8NDP) 2022-2026 Figure 6: Gross International Reserves (US$’ million) Source: Zambia Statistics Agency and Bank of Zambia International reserves declined steadily to US$1.2 billion (equivalent to 2.4 months of import cover) in 2020 from US$2.1 billion (equivalent to 2.9 months of import cover) in 2017. The decline was mainly due to increased external debt service. In 2021, however, international reserves rose to US$2.8 billion (equivalent of 4.4 months of import cover). This followed the receipt of Special Drawing Rights (SDRs) 937.6 million (equivalent of US$1.3 billion) from the International Monetary Fund IMF). At 4.4 months of import cover, international reserves, however, remain far below the Vision 2030 target of at least 12 months of import cover. In this regard, there is need to step up efforts to enhance the accumulation of international reserves. Foreign direct investment (FDI) inflows averaged US$1.1 billion per annum between 2006 and 2021 (see Figure 7). Mining continued to be the largest destination for FDI inflows. FDI declined steadily after 2013 largely attributed to changes in tax policy for the mining sector, volatile international commodity prices, particularly for copper, and the unfavourable
macroeconomic|environment. The concentration of FDI inflows in the mining sector calls for concerted efforts to attract investments in other key sectors such as manufacturing,
agriculture|and tourism, if the economy is to be transformed so as to create jobs and
Socio-economic|transformation for improved livelihoods Figure 7: Foreign Direct Investment Inflows (2006-2021) Source: Bank of Zambia 2.2.6. Employment and Job Creation The country’s overall unemployment rate reduced during the first seven years of the review period from 16.0 percent in 2005 to 7.8 percent in 2012. However, the trend was reversed thereafter with the unemployment rate rising to 12.5 percent in 2021. The unemployment rate among the youth was higher than the national unemployment rate and showed an increasing trend over the review period. In 2021, the youth unemployment rate was estimated at 17.4 percent compared to 14 percent in 20051. The unemployment rate was also higher in urban areas than in rural areas (see Table 1). Further, disparities in gender were observed, with unemployment among females being higher. Table 1: Unemployment Rates (%) 2005-2020 Youth Unemployment Rate Source: Zambia Statistics Agency, Labour Force Survey Reports *2021 Figures are preliminary The methodology for computation of employment statistics since 2017 was based on the 2013 definition of the concept of employment which defines it as any work performed/to be performed for at least one hour during a specified short reference period, to produce goods/services for others for pay/profit. The old standard for defining the concept of employment (1982 International Conference of Labour Statisticians) defines it as any work performed/to be performed for at least one hour during a specified short reference period, to produce goods/services for own use or for others irrespective of whether it is for pay/profit. EIGHTH NATIONAL DEVELOPMENT PLAN (8NDP) 2022-2026 In addition, in 2005 employment was largely informal with rural areas having a higher rate of informal employment at 98.0 percent compared to urban areas at 65.0 percent. This pattern persisted with informal employment in rural areas recorded at 86.1 percent compared to 66.6 percent in urban areas in 2021 (see 2.3. HUMAN AND SOCIAL DEVELOPMENT Between 2005 and 2021, Zambia recorded improvements in human development measured by life expectancy, access to learning and knowledge, and the standard of living. The country’s Human Development Index improved to 0.584 in 2019 from 0.471 in 2005. This largely reflected the increase in life expectancy at birth to 63.9 years from 48.5 years. The average number of completed years of
education|of the Zambian population rose to 7.2 from 6.3 while the number of years a child of school entrance age was expected to spend at school increased to 11.5 from 10.9. In addition, Gross National Income per capita increased to US$1,190 in 2020 from US$720 in 2006. 2.3.1 Population Dynamics Population growth between 2006 and 2020 averaged 2.8 percent per annum. In 2010, the population was 13.1 million and was estimated at 17.9 million in 2020. Further, the population was higher in rural than in urban areas. The rural population was 7.9 million in 2010 and was estimated at 10.1 million in 2020. Over the same period, the urban population was 5.2 million in 2010 and was estimated at 7.8 million in 2020. This high rate of population growth is attributed to the interplay between high fertility and reducing mortality. While the country experienced a slight reduction in the total fertility rate (TFR) from an average of 6.2 births per woman in 2007 to 4.7 births in 2018, mortality rates reduced during the same period (see Figure 8). Pregnancy-related mortality (PRMR) reduced from 591 deaths per 100,000 live births in 2007 to 278 deaths per 100,000 live births in 2018, a reduction from 398 per 1,000 live births in 2014. The maternal mortality ratio (MMR) was 252 deaths per 100,000 live births in 20182. The infant mortality rate (IMR) reduced to 42 deaths in 2018 from 70 deaths per 1,000 live births in 2007, while the under-five mortality rate (U5MR) reduced to 61 deaths in 2018 from 119 deaths per 1,000 live births in 2007. Table 2: Formal and Informal Employment (%) 2005-2021 Source: Zambia Statistics Agency, Labour Force Survey Reports 2Since the 2013-14 ZDHS, the current definition for maternal mortality was adopted, which excludes maternal deaths from accidents and injuries in the calculation. The calculation of maternal mortality in previous surveys, which includes these deaths, is now called pregnancy-related mortality. Under the new definition maternal maternity for 2018 stood at 252
Socio-economic|transformation for improved livelihoods Source: Zambia Statistics Agency The relatively high population growth rate for Zambia has culminated into a young population with about 46 percent of the population aged below 15 years, and approximately 80 percent of the population aged below 35 years. This implies that the child dependency ratio remains high at an average of 88 persons aged 0-15 years per 100 persons aged 15-64 years. (see Figure 9). Figure 9: Population by Age and Sex, Zambia, 2021 Source: Zambia Statistics Agency Figure 8: Selected Demographic Indicators 2007 - 2018 EIGHTH NATIONAL DEVELOPMENT PLAN (8NDP) 2022-2026 Source: Zambia Statistics Agency The Multidimensional Poverty Index, which considers several elements of deprivation suffered by individuals in the areas of
health|,
education|and standard of living, improved to 44 percent in 2018 from 50 percent in The population age structure is expected to remain relatively unchanged up to 2035, unless the implementation of interventions aimed at attaining the demographic dividend are put in place (see Figure 9). To attain the demographic dividend, there is a need to prioritise strategic investments in human capital (
health|and
education|), implement sound economic and
governance|policies, as well as sustain all necessary commitments for opening the demographic window of opportunity. This entails the prioritisation of investments aimed at creating opportunities and a supportive environment for innovation and entrepreneurship for the growing labour force, particularly the young people, persons with disabilities (PWDs), and women. 2.3.2 Poverty and Inequality Zambia still ranks among the countries with high incidences of poverty and inequality in Africa, as well as globally. This is despite several interventions made in
education|and skills development,
health|, water and sanitation, as well as job creation and empowerment of citizens. However, some reduction in poverty levels were recorded during the previous NDP periods. Poverty levels in the period 2006-2015 reduced by 8.4 percentage points to 54.4 percent in 2015 from 62.8 percent in 2006. This notwithstanding, extreme poverty or the proportion of individuals whose consumption was less than the cost of the food basket only marginally improved to 41 percent of the total population in 2015 from 43 percent in 2006. Analysis by rural-urban residence indicates that poverty in rural areas remained higher at 76.6 percent compared to 23.4 percent in urban areas as of 2015. Extreme poverty was also higher in the rural areas at 60.8 percent. These persistently high poverty levels in rural areas were mostly attributed to inadequate nutrition, households’ inability to afford agricultural inputs, low wages or salaries and lack of capital to start or expand own business. Figure 10 below shows poverty trends for the period between 2006 and 2015. Figure 10: Poverty Trends (%), 2006-2015
Socio-economic|transformation for improved livelihoods High levels of poverty were more prevalent among female-headed households compared to male headed households in both rural and urban areas. According to the 2015 Living Conditions Monitoring Survey, poverty for female-headed households at 56.7 percent, was higher than that for households headed by their male counterparts, at 53.8 percent. Among the factors contributing to gender disparities included inequitable access to
education|and productive resources such as land, household labour, and empowerment programmes, among others. Additionally, female headed households were more likely to experience cultural discrimination in access to
education|and other public services. During the period under review, inequality in income, as measured by the Gini coefficient, worsened due to the fact that growth was driven by industries that were not labour intensive. This relegated most of the labour to low paying informal jobs. Further, productivity in the
agriculture|sector, which was the mainstay of the rural population, did not improve, resulting in stagnation of incomes. At the national level, the Gini coefficient worsened to 0.69 in 2015 from 0.60 in 2006. Between 2006 and 2015, rural income inequality remained constant at 0.60 while urban income inequality worsened to 0.65 percent in 2015 from 0.60 in 2006. Given that growth was sluggish during the 7NDP period, it is expected that this trend would have remained the same, if not worse. There is, therefore, need to invest in labour-intensive industries that create job opportunities as well as undertake interventions that improve productivity in key sectors such as
agriculture|and manufacturing, among others. Access to social protection services such as food security packs, social cash transfers, and public welfare assistance for the vulnerable increased between 2006 and 2021. The number of farmer households supported with food security packs increased to 36,300 in 2021 from 28,527 in 2006. That of incapacitated households provided with social cash transfers, increased to 880,539 beneficiaries in 2021 from 2,905 beneficiaries in 2006. Meanwhile, the number of incapacitated households accessing in-kind support through the Public Welfare Assistance Scheme reduced to 31,000 beneficiaries in 2021 from 151,731 beneficiaries in 2006, partly as a consequence of the expansion of the social cash transfer programme. Nonetheless, effective implementation of the social cash transfer interventions faced several challenges. These included poor targeting of beneficiaries, especially the extremely poor and vulnerable, low integration of social protection programmes, intermittent release of funds and lack of an integrated automated Social Protection Management Information System. These need to be addressed going forward. 2.3.3
Education|and Skills Development Achieving universal access to
education|as espoused by the Vision 2030 and the SDGs remained Government policy on
education|. In 2011, the Government integrated Early Childhood
Education|(ECE) into the mainstream
education|system. In 2013, the Government introduced ECE centres in primary schools to create space for early learners and recruited 1,000 ECE teachers. As a result, enrolments increased from 47,317 pupils in 2011 to 258,616 pupils in 2020, although the ratio of teachers and caregivers was recorded at 1 to 80 pupils. Consequently, following the policy change, the Government became the largest ECE service provider accounting for 62.2 percent of the total enrolment in 2020. Notwithstanding the increase, the enrolment rate stood at only 11.2 percent of the total target population as of 2020. This is well below the target of achieving universal access to ECE. The noted challenges included insufficient public spending for ECE activities, inadequate and inappropriate infrastructure and long distances to ECE centres, especially EIGHTH NATIONAL DEVELOPMENT PLAN (8NDP) 2022-2026 Over the period 2005 to 2020, enrolments at Grade 1 level increased by 22 percent to 543,675 pupils from 444,300. Although Grade 1 entrants increased over the years, the average annual increase was 1.5 percent which is below the population growth rate of 2.8 percent, implying that a significant proportion of the target population remained outside the school system. In relation to gender, there were more female pupils accessing
